,account,state,postedOn,payee,usage,category,tags,notes,amount,action,security,description,quantity,price,commission
,"American Express Gold","CLEARED","12/23/2023","Amazon","","Shopping","","","-$19.15","","","","","",""
,"American Express Gold","CLEARED","12/23/2023","Amazon","","Shopping","","","-$19.00","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Dark Horse Tavern","","Dining & Drinks:Restaurants","","","-$18.81","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon","","Shopping","","","-$11.04","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Grubhub*Atwoods","","Dining & Drinks:Restaurants","","","-$16.32","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","","-$16.32","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon Marketplace Namzn.com/bill Wa","","Shopping","","","-$18.28","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Uber","","Mint:Ride Share","","","-$10.91","","","","","",""
,"American Express Gold","CLEARED","12/19/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$19.35","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$9.95","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Neighbors Atlanta Ga","","Dining & Drinks:Bars","","","-$21.69","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Neighbors Atlanta Ga","","Dining & Drinks:Bars","","","-$7.53","","","","","",""
,"American Express Gold","CLEARED","12/15/2023","Aplpay Perc Atlanta Atlanta Ga","","Dining & Drinks:Coffee Shops","","","-$9.71","","","","","",""
,"American Express Gold","CLEARED","12/14/2023","Amazon . Com Amzn . Com / Bill Wa","","Personal Care:Hair","","","-$26.90","","","","","",""
,"American Express Gold","CLEARED","12/14/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$23.42","","","","","",""
,"American Express Gold","CLEARED","12/13/2023","Amex Send : Add Money","","Parents","","","-$31.00","","","","","",""
,"American Express Gold","CLEARED","12/13/2023","Amex Send Offer Credit","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","12/9/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$95.86","","","","","",""
,"American Express Gold","CLEARED","12/7/2023","Uber Eats Help . Uber . Com Ca","","Dining & Drinks:Restaurants","","","-$4.16","","","","","",""
,"American Express Gold","CLEARED","12/4/2023","Aplpay Bolt Operatiotallinn Es","","Travel","","","-$16.80","","","","","",""
,"American Express Gold","CLEARED","12/2/2023","Renfe Cercanias Tna Malaga Es","","Travel","","","-$1.97","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$21.39","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Aplpay Zettle *syra Barcelona Es","","Travel","","","-$3.08","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Pets:Pet Food & Supplies","","","-$36.80","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Marta Tvm Xx0018atlanta Ga","","Travel","","","-$5.00","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Gifts","","","-$26.82","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$6.73","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$3.38","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$2.58","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Home:Home Supplies","","","-$8.55","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Five Guys","","Dining & Drinks:Fast Food","","","-$9.46","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Renfe Cercanias Tna Malaga Es","","Travel","","","-$2.53","","","","","",""
,"American Express Gold","CLEARED","11/28/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$32.34","","","","","",""
,"American Express Gold","CLEARED","11/28/2023","American Express","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","11/27/2023","Aplpay Www.getnomad.santa Clara Ca","","Groceries","","","-$10.00","","","","","",""
,"American Express Gold","CLEARED","11/26/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$7.71","","","","","",""
,"American Express Gold","CLEARED","11/26/2023","Tst* The Wicked Wolfatlanta Ga","","Dining & Drinks:Bars","","","-$72.32","","","","","",""
,"American Express Gold","CLEARED","11/26/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$7.71","","","","","",""
,"American Express Gold","CLEARED","11/26/2023","Tst* The Wicked Wolfatlanta Ga","","Dining & Drinks:Bars","","","-$13.69","","","","","",""
,"American Express Gold","CLEARED","11/26/2023","Tst* The Wicked Wolfatlanta Ga","","Dining & Drinks:Bars","","","-$22.77","","","","","",""
,"American Express Gold","CLEARED","11/24/2023","Autopay Payment - Thank You","","Credit Card Payment","","","$1,158.60","","","","","",""
,"American Express Gold","CLEARED","11/23/2023","Google","","Mint:Statement Credits","","","$20.00","","","","","",""
,"American Express Gold","CLEARED","11/23/2023","Amazon Marketplace Namzn.com/bill Wa","","Gifts","","","-$43.55","","","","","",""
,"American Express Gold","CLEARED","11/23/2023","Google","","Mint:Statement Credits","","","$9.00","","","","","",""
,"American Express Gold","CLEARED","11/21/2023","Google *youtube Tv G.co/helppay# Ca","","Utilities:Internet & Cable","","","-$90.90","","","","","",""
,"American Express Gold","CLEARED","11/20/2023","Grubhub*raysnewyorkpnew York Ny","","Dining & Drinks:Restaurants","","","-$22.86","","","","","",""
,"American Express Gold","CLEARED","11/19/2023","T-mobile","","Utilities:Phone","","","-$76.37","","","","","",""
,"American Express Gold","CLEARED","11/13/2023","The Painted Duck","","Dining & Drinks:Bars","","","-$41.57","","","","","",""
,"American Express Gold","CLEARED","11/12/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$8.56","","","","","",""
,"American Express Gold","CLEARED","11/12/2023","Lyft Xxx-xxx-0278 Ca","","Mint:Ride Share","","","-$8.70","","","","","",""
,"American Express Gold","CLEARED","11/9/2023","Adj Redist Bal","","Transfer","","","$5.00","","","","","",""
,"American Express Gold","CLEARED","11/9/2023","Dr Adj Redist Cadv Prin","","Transfer","","","-$5.00","","","","","",""
,"American Express Gold","CLEARED","11/5/2023","Tandoori Pizza & Winatlanta Ga","","Dining & Drinks:Restaurants","","","-$25.96","","","","","",""
,"American Express Gold","CLEARED","11/5/2023","Uber Eats Uber.com Coca","","Dining & Drinks:Restaurants","","","-$5.12","","","","","",""
,"American Express Gold","CLEARED","11/3/2023","Google","","Mint:Statement Credits","","","$6.00","","","","","",""
,"American Express Gold","CLEARED","11/3/2023","Google","","Mint:Statement Credits","","","$20.00","","","","","",""
,"American Express Gold","CLEARED","11/1/2023","American Express","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","10/31/2023","Google *youtube Tv G.co/helppay# Ca","","Utilities:Internet & Cable","","","-$69.70","","","","","",""
,"American Express Gold","CLEARED","10/28/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$44.57","","","","","",""
,"American Express Gold","CLEARED","10/28/2023","Grubhub*raysnewyorkpnew York Ny","","Dining & Drinks:Restaurants","","","-$22.86","","","","","",""
,"American Express Gold","CLEARED","10/25/2023","Autopay Payment - Thank You","","Credit Card Payment","","","$105.12","","","","","",""
,"American Express Gold","CLEARED","10/24/2023","Air France","","Travel:Airfare","","","-$725.40","","","","","",""
,"American Express Gold","CLEARED","10/21/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$15.21","","","","","",""
,"American Express Gold","CLEARED","10/16/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","Record player","-$212.73","","","","","",""
,"American Express Gold","CLEARED","10/15/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$59.97","","","","","",""
,"American Express Gold","CLEARED","10/13/2023","Aplpay Perc Atlanta Atlanta Ga","","Dining & Drinks:Coffee Shops","","","-$8.08","","","","","",""
,"American Express Gold","CLEARED","10/12/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","","-$5.00","","","","","",""
,"American Express Gold","CLEARED","10/12/2023","Amazon","","Shopping","","","$5.00","","","","","",""
,"American Express Gold","CLEARED","10/9/2023","Tst* Rreal Tacos -atatlanta Ga","","Dining & Drinks:Restaurants","","","-$16.65","","","","","",""
,"American Express Gold","CLEARED","10/1/2023","Uber Eats Uber.com Coca","","Mint:Food Delivery","","","-$18.69","","","","","",""
,"American Express Gold","CLEARED","9/28/2023","Blueapron * Order New York City Ny","","Mint:Meal Delivery","","","$47.12","","","","","",""
,"American Express Gold","CLEARED","9/27/2023","Blueapron * Order New York City Ny","","Mint:Meal Delivery","","","-$47.12","","","","","",""
,"American Express Gold","CLEARED","9/25/2023","American Express","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","9/23/2023","Autopay Payment - Thank You","","Credit Card Payment","","","$522.00","","","","","",""
,"American Express Gold","CLEARED","9/23/2023","Grubhub*raysnewyorkpnew York Ny","","Dining & Drinks:Restaurants","","","-$22.86","","","","","",""
,"American Express Gold","CLEARED","9/19/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","$4.72","","","","","",""
,"American Express Gold","CLEARED","9/19/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$61.92","","","","","",""
,"American Express Gold","CLEARED","9/9/2023","Pep Boys Store # 179atlanta Ga","","Auto & Transport:Service & Parts","","","$36.00","","","","","",""
,"American Express Gold","CLEARED","9/8/2023","Adj Redist Bal","","Transfer","","","$10.01","","","","","",""
,"American Express Gold","CLEARED","9/8/2023","Dr Adj Redist Cadv Prin","","Transfer","","","-$10.01","","","","","",""
,"American Express Gold","CLEARED","9/5/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$42.81","","","","","",""
,"American Express Gold","CLEARED","9/1/2023","Amazon . Com Amzn . Com / Bill Wa","","Mint:Sporting Goods","","","-$25.43","","","","","",""
,"American Express Gold","CLEARED","9/1/2023","Amazon . Com Amzn . Com / Bill Wa","","Mint:Sporting Goods","","","-$0.01","","","","","",""
,"American Express Gold","CLEARED","9/1/2023","Amazon","","Mint:Sporting Goods","","","$0.01","","","","","",""
,"American Express Gold","CLEARED","8/31/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$65.33","","","","","",""
,"American Express Gold","CLEARED","8/30/2023","At&t U-verse","","Parents","","","-$100.32","","","","","",""
,"American Express Gold","CLEARED","8/30/2023","At&t U-verse","","Utilities:Phone","","","-$50.00","","","","","",""
,"American Express Gold","CLEARED","8/28/2023","Uber Eats Help . Uber . Com Ca","","Dining & Drinks:Restaurants","","","-$30.71","","","","","",""
,"American Express Gold","CLEARED","8/28/2023","Temu . Com Wilmington De","","Shopping","","","$24.26","","","","","",""
,"American Express Gold","CLEARED","8/28/2023","Temu . Com Wilmington De","","Shopping","","","-$1.75","","","","","",""
,"American Express Gold","CLEARED","8/28/2023","Temu . Com Wilmington De","","Shopping","","","-$26.11","","","","","",""
,"American Express Gold","CLEARED","8/27/2023","Cr Adj For Billing Inquir","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","8/27/2023","T-mobile","","Utilities:Phone","","","$25.00","","","","","",""
,"American Express Gold","CLEARED","8/25/2023","Autopay Payment - Thank You","","Transfer","","","$350.04","","","","","",""
,"American Express Gold","CLEARED","8/25/2023","T-mobile","","Utilities:Phone","","","-$54.57","","","","","",""
,"American Express Gold","CLEARED","8/23/2023","Pet Well Veterinary Health Care","","Pets:Veterinary","","","-$182.32","","","","","",""
,"American Express Gold","CLEARED","8/19/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$31.96","","","","","",""
,"American Express Gold","CLEARED","8/17/2023","Chipotle","","Dining & Drinks:Fast Food","","","-$10.67","","","","","",""
,"American Express Gold","CLEARED","8/17/2023","Paypal *nike.com Xxxxxx9712 Or","","Mint:Sporting Goods","","","$95.83","","","","","",""
,"American Express Gold","CLEARED","8/17/2023","Paypal *nike.com Xxxxxx9712 Or","","Mint:Sporting Goods","","","$104.52","","","","","",""
,"American Express Gold","CLEARED","8/9/2023","American Express","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","8/6/2023","Lyft Xxx-xxx-0278 Ca","","Mint:Ride Share","","","-$11.52","","","","","",""
,"American Express Gold","CLEARED","8/6/2023","Lyft Xxx-xxx-0278 Ca","","Mint:Ride Share","","","-$11.99","","","","","",""
,"American Express Gold","CLEARED","8/5/2023","Grubhub* Raysnewyorkchicago Il","","Dining & Drinks:Restaurants","","","-$23.96","","","","","",""
,"American Express Gold","CLEARED","7/31/2023","At&t U-verse","","Utilities:Phone","","","-$50.00","","","","","",""
,"American Express Gold","CLEARED","7/31/2023","Victory Sandwich Bar","","Dining & Drinks:Restaurants","","","-$108.09","","","","","",""
,"American Express Gold","CLEARED","7/31/2023","At&t U-verse","","Parents","","","-$100.32","","","","","",""
,"American Express Gold","CLEARED","7/30/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$28.86","","","","","",""
,"American Express Gold","CLEARED","7/30/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","7/30/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$7.71","","","","","",""
,"American Express Gold","CLEARED","7/30/2023","Mjq Concourse Atlanta Ga","","Dining & Drinks:Bars","","","-$28.86","","","","","",""
,"American Express Gold","CLEARED","7/30/2023","Porter Bbq & Brewery, Llc","","Dining & Drinks:Bars","","","-$20.01","","","","","",""
,"American Express Gold","CLEARED","7/29/2023","Adidas Us Online Stoxxx-xxx-9337 Or","","Mint:Sporting Goods","","","$98.01","","","","","",""
,"American Express Gold","CLEARED","7/29/2023","Homedepot.com Xxx-xxx-3376 Ga","","Home:Home Supplies","","","-$65.31","","","","","",""
,"American Express Gold","CLEARED","7/25/2023","Autopay Payment - Thank You","","Transfer","","","$2,214.63","","","","","",""
,"American Express Gold","CLEARED","7/23/2023","Bt*freshtx*monday Niatlanta Ga","","Dining & Drinks:Bars","","","-$148.35","","","","","",""
,"American Express Gold","CLEARED","7/15/2023","Tiff ' S Treats . . . . . . . Austin Tx","","Dining & Drinks:Restaurants","Dessert","","-$13.06","","","","","",""
,"American Express Gold","CLEARED","7/11/2023","Lyft *ride Sat Xxpxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$25.93","","","","","",""
,"American Express Gold","CLEARED","7/10/2023","Dr Adj Redist Cadv Prin","","Transfer","","","-$0.01","","","","","",""
,"American Express Gold","CLEARED","7/10/2023","Adj Redist Bal","","Transfer","","","$0.01","","","","","",""
,"American Express Gold","CLEARED","7/9/2023","Amazon . Com Amzn . Com / Bill Wa","","Pets:Pet Food & Supplies","","","-$1.26","","","","","",""
,"American Express Gold","CLEARED","7/9/2023","Amazon . Com Amzn . Com / Bill Wa","","Personal Care","","","-$6.59","","","","","",""
,"American Express Gold","CLEARED","7/9/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$22.04","","","","","",""
,"American Express Gold","CLEARED","7/8/2023","Amazon . Com Amzn . Com / Bill Wa","","Home:Home Supplies","","","-$17.31","","","","","",""
,"American Express Gold","CLEARED","7/8/2023","Amazon . Com Amzn . Com / Bill Wa","","Pets:Pet Food & Supplies","","","-$5.33","","","","","",""
,"American Express Gold","CLEARED","7/7/2023","Amazon","","Mint:Statement Credits","","","$0.01","","","","","",""
,"American Express Gold","CLEARED","7/7/2023","Amazon . Com Amzn . Com / Bill Wa","","Mint:Statement Credits","","","-$0.01","","","","","",""
,"American Express Gold","CLEARED","7/6/2023","Pep Boys Store # 179atlanta Ga","","Auto & Transport:Service & Parts","","","-$1,125.22","","","","","",""
,"American Express Gold","CLEARED","7/5/2023","Temu . Com Wilmington De","","Home:Home Supplies","","","$0.07","","","","","",""
,"American Express Gold","CLEARED","7/4/2023","Amazon Prime Amazon . Com Wa","","Shopping","","","-$69.00","","","","","",""
,"American Express Gold","CLEARED","7/4/2023","Lyft *ride Sun Xxpxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$8.99","","","","","",""
,"American Express Gold","CLEARED","7/3/2023","Tst* Pizza Jeans Llcatlanta Ga","","Dining & Drinks:Restaurants","","","-$6.72","","","","","",""
,"American Express Gold","CLEARED","7/3/2023","The Tap On Ponce","","Dining & Drinks:Bars","","","-$21.67","","","","","",""
,"American Express Gold","CLEARED","7/3/2023","Tst* New Realm Brewiatlanta Ga","","Dining & Drinks:Bars","","","-$9.71","","","","","",""
,"American Express Gold","CLEARED","7/3/2023","Blake ' S On The Park Atlanta Ga","","Dining & Drinks:Bars","","","-$15.00","","","","","",""
,"American Express Gold","CLEARED","7/2/2023","Amazon Web Services Aws . Amazon . Com Wa","","Shopping:Electronics","","","-$0.15","","","","","",""
,"American Express Gold","CLEARED","6/29/2023","At&t U-verse","","Utilities:Phone","","","-$50.00","","","","","",""
,"American Express Gold","CLEARED","6/29/2023","At&t U-verse","","Parents","","","-$100.35","","","","","",""
,"American Express Gold","CLEARED","6/27/2023","Paypal *nike.com Xxxxxx9712 Or","","Transfer","","","-$265.69","","","","","",""
,"American Express Gold","CLEARED","6/27/2023","Batavia Iii 0001 Atlanta Ga","","Dining & Drinks:Restaurants","","","-$70.28","","","","","",""
,"American Express Gold","CLEARED","6/27/2023","Publix","","Groceries","","","-$39.14","","","","","",""
,"American Express Gold","CLEARED","6/25/2023","Temu . Com Wilmington De","","Shopping","","","-$0.07","","","","","",""
,"American Express Gold","CLEARED","6/25/2023","Temu . Com Wilmington De","","Shopping","","","-$12.69","","","","","",""
,"American Express Gold","CLEARED","6/24/2023","Autopay Payment - Thank You","","Transfer","","","$3,849.54","","","","","",""
,"American Express Gold","CLEARED","6/24/2023","All Seasons Emissions","","Auto & Transport:Service & Parts","","","-$30.00","","","","","",""
,"American Express Gold","CLEARED","6/24/2023","Adidas Us Online Stoxxx-xxx-9337 Or","","Shopping:Clothing","","","-$98.01","","","","","",""
,"American Express Gold","CLEARED","6/24/2023","Publix #xxxx Xxx0010atlanta Ga","","Groceries","","","-$97.36","","","","","",""
,"American Express Gold","CLEARED","6/21/2023","Qt Xxx0/quiktrip 554atlanta Ga","","Auto & Transport:Gas & Fuel","","","-$10.25","","","","","",""
,"American Express Gold","CLEARED","6/20/2023","Uber Eats","","Mint:Food Delivery","","","-$24.62","","","","","",""
,"American Express Gold","CLEARED","6/18/2023","Tst* Eleventh Streetatlanta Ga","","Dining & Drinks:Restaurants","","","-$9.62","","","","","",""
,"American Express Gold","CLEARED","6/18/2023","Tst* The Wicked Wolfatlanta Ga","","Dining & Drinks:Bars","","","-$27.51","","","","","",""
,"American Express Gold","CLEARED","6/18/2023","Qt Xxx0/quiktrip 554atlanta Ga","","Auto & Transport:Gas & Fuel","","","-$24.70","","","","","",""
,"American Express Gold","CLEARED","6/17/2023","Qt Xxx0/quiktrip 554atlanta Ga","","Auto & Transport:Gas & Fuel","","","-$10.76","","","","","",""
,"American Express Gold","CLEARED","6/15/2023","Qt Xxx0/quiktrip 554atlanta Ga","","Auto & Transport:Gas & Fuel","","","-$3.97","","","","","",""
,"American Express Gold","CLEARED","6/13/2023","Cvs","","Health:Pharmacy","","","-$20.40","","","","","",""
,"American Express Gold","CLEARED","6/11/2023","Qt Xxx0/quiktrip 554atlanta Ga","","Auto & Transport:Gas & Fuel","","","-$10.29","","","","","",""
,"American Express Gold","CLEARED","6/7/2023","Jimmy John's","","Dining & Drinks:Restaurants","","","-$16.88","","","","","",""
,"American Express Gold","CLEARED","6/7/2023","Lyft *ride Tue Xamxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$59.93","","","","","",""
,"American Express Gold","CLEARED","6/7/2023","Marta Tvm Xx0018atlanta Ga","","Auto & Transport:Public Transportation","","","-$2.50","","","","","",""
,"American Express Gold","CLEARED","6/6/2023","Uber Eats Help . Uber . Com Ca","","Dining & Drinks:Restaurants","","","-$40.81","","","","","",""
,"American Express Gold","CLEARED","6/6/2023","Safeway #xxxx 1479 Wheat Ridge Co","","Groceries","","","-$7.37","","","","","",""
,"American Express Gold","CLEARED","6/6/2023","Lyft *ride Sun Xpmxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$27.51","","","","","",""
,"American Express Gold","CLEARED","6/6/2023","Tst* Pierogies Factowheat Ridge Co","","Dining & Drinks:Restaurants","","","-$14.23","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Lyft *ride Sat Xpmxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$11.99","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","","-$7.39","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Tst* Ama Modern Mexidenver Co","","Dining & Drinks:Restaurants","","","-$18.78","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Lyft *ride Sun Xpmxxx-xxx-9553 Ca","","Mint:Ride Share","","","-$9.99","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","","-$8.51","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Tst* Happy Camper - Denver Co","","Dining & Drinks:Restaurants","","","-$481.28","","","","","",""
,"American Express Gold","CLEARED","6/5/2023","Tst* Bar At Avanti Ddenver Co","","Dining & Drinks:Bars","","","-$26.88","","","","","",""
,"American Express Gold","CLEARED","6/4/2023","Safeway #xxxx 1479 Wheat Ridge Co","","Groceries","","","-$32.69","","","","","",""
,"American Express Gold","CLEARED","6/4/2023","Rtd East Dia","","Auto & Transport:Public Transportation","","","-$10.50","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$21.26","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Panda Concourse A Denver Co","","Dining & Drinks:Restaurants","","","-$11.34","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Tst* Wynkoop Brewingdenver Co","","Dining & Drinks:Restaurants","","","-$189.92","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Safeway #xxxx 1479 Wheat Ridge Co","","Groceries","","","-$62.01","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Improper City","","Entertainment","","","-$32.20","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Colorado Sake Co Denver Co","","Dining & Drinks:Restaurants","","","-$240.00","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$24.65","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$27.57","","","","","",""
,"American Express Gold","CLEARED","6/3/2023","Mr Biscuits Bakery Wheat Ridge Co","","Dining & Drinks:Restaurants","","","-$12.17","","","","","",""
,"American Express Gold","CLEARED","6/2/2023","Tst* Costa Coffee - Atlanta Ga","","Dining & Drinks:Coffee Shops","","","-$7.91","","","","","",""
,"American Express Gold","CLEARED","6/1/2023","Wholefds Atl#xx650 0atlanta Ga","","Groceries","","","-$44.42","","","","","",""
,"American Express Gold","CLEARED","6/1/2023","Amazon Marketplace Namzn.com/bill Wa","","Shopping","","","-$2.67","","","","","",""
,"American Express Gold","CLEARED","6/1/2023","Frontier Air","","Travel:Airfare","","","-$124.00","","","","","",""
,"American Express Gold","CLEARED","5/30/2023","At&t U-verse","","Utilities:Phone","","","-$50.00","","","","","",""
,"American Express Gold","CLEARED","5/30/2023","At&t U-verse","","Parents","","","-$100.35","","","","","",""
,"American Express Gold","CLEARED","5/30/2023","Strata Scratch , Llc Houston Tx","","Dining & Drinks:Restaurants","","","-$32.00","","","","","",""
