Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-23,PEACOCK TV,PEACOCK TV,5.99,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-23,EVENTBRITE,EVENTBRITE,101.43,debit,Business Services,Amex Blue Cash Everyday,,
2023-12-23,EVENTBRITE,EVENTBRITE,26.3,debit,Business Services,Amex Blue Cash Everyday,,
2023-12-23,PEACOCK TV,PEACOCK TV,1.0,credit,Income,Amex Blue Cash Everyday,,
2023-12-23,PEACOCK TV,PEACOCK TV,1.0,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-22,BR FACTORY.COM 2624 GROVEPORT OH,BR FACTORY.COM 2624 GROVEPORT OH,149.85,debit,Clothing,Amex Blue Cash Everyday,,
2023-12-21,OLD NAVY ON-LINE 084GROVEPORT OH,OLD NAVY ON-LINE 084GROVEPORT OH,44.65,debit,Clothing,Amex Blue Cash Everyday,,
2023-12-21,SEATGEEK TICKETS NEW YORK NY,SEATGEEK TICKETS NEW YORK NY,246.17,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-09,CHEWY.COM (XXX)XXX-4399 FL,CHEWY.COM (XXX)XXX-4399 FL,43.43,credit,Pet Food & Supplies,Amex Blue Cash Everyday,,
2023-12-09,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,123.5,credit,Credit Card Payment,Amex Blue Cash Everyday,,
2023-11-27,SP FELIWAY.COM DURHAM NC,SP FELIWAY.COM DURHAM NC,76.23,debit,Pet Food & Supplies,Amex Blue Cash Everyday,,
2023-11-27,DENTALESTHETICS ATLANTA GA,DENTALESTHETICS ATLANTA GA,37.5,debit,Dentist,Amex Blue Cash Everyday,,
2023-11-19,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,15.9,debit,Food & Dining,Amex Blue Cash Everyday,,
2023-11-13,AplPay QT 1700/QUIKTATLANTA GA,AplPay QT 1700/QUIKTATLANTA GA,9.08,debit,Groceries,Amex Blue Cash Everyday,,
2023-11-10,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,14.85,debit,Groceries,Amex Blue Cash Everyday,,
2023-11-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,424.53,credit,Credit Card Payment,Amex Blue Cash Everyday,,
2023-11-07,BCE HOME CHEF CREDIT,BCE HOME CHEF CREDIT,15.0,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-11-05,EBAY O*XX-XXXXX-1110SAN JOSE CA,EBAY O*XX-XXXXX-1110SAN JOSE CA,6.09,debit,Shopping,Amex Blue Cash Everyday,,
2023-11-03,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,47.98,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-10-30,HARNEY TEAS XXX-XXX-8463 NY,HARNEY TEAS XXX-XXX-8463 NY,44.6,debit,Coffee Shops,Amex Blue Cash Everyday,,
2023-10-25,CHEWY.COM (XXX)XXX-4399 FL,CHEWY.COM (XXX)XXX-4399 FL,105.13,debit,Pet Food & Supplies,Amex Blue Cash Everyday,,
2023-10-17,"ETSY, INC. BROOKLYN NY","ETSY, INC. BROOKLYN NY",32.2,debit,Coffee Shops,Amex Blue Cash Everyday,,
2023-10-15,AplPay QT 1700/QUIKTATLANTA GA,AplPay QT 1700/QUIKTATLANTA GA,9.42,debit,Groceries,Amex Blue Cash Everyday,,
2023-10-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,260.74,credit,Credit Card Payment,Amex Blue Cash Everyday,,
2023-10-09,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,6.27,debit,Groceries,Amex Blue Cash Everyday,,
2023-10-08,BCE HOME CHEF CREDIT,BCE HOME CHEF CREDIT,15.0,credit,Statement Credits,Amex Blue Cash Everyday,,
2023-10-07,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,20.96,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-10-07,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,11.53,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-10-06,LEMONADE INSURANCE CNEW YORK CITY,LEMONADE INSURANCE CNEW YORK CITY,15.47,credit,Pet Food & Supplies,Amex Blue Cash Everyday,,
2023-10-06,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,47.98,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-10-05,LEMONADE INSURANCE NEW YORK CITY NY,LEMONADE INSURANCE NEW YORK CITY NY,154.65,debit,Pet Food & Supplies,Amex Blue Cash Everyday,,
2023-10-03,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,6.61,debit,Gas & Fuel,Amex Blue Cash Everyday,,
2023-10-01,BCE HOME CHEF CREDIT,BCE HOME CHEF CREDIT,15.0,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-09-30,SP TORTILLA FAMILIA HEREFORD AZ,SP TORTILLA FAMILIA HEREFORD AZ,40.61,debit,Groceries,Amex Blue Cash Everyday,,
2023-09-29,TRADE COFFEE CO BOSTON MA,TRADE COFFEE CO BOSTON MA,20.0,debit,Coffee Shops,Amex Blue Cash Everyday,,
2023-09-29,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,47.13,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-09-25,AplPay QT DULUTH GA,AplPay QT DULUTH GA,27.8,debit,Gas & Fuel,Amex Blue Cash Everyday,,
2023-09-25,BT*SUCCULENT STUDIOSLONG BEACH CA,BT*SUCCULENT STUDIOSLONG BEACH CA,6.5,debit,Shopping,Amex Blue Cash Everyday,,
2023-09-24,WESTKOAST BOTANICALSSALEM OR,WESTKOAST BOTANICALSSALEM OR,184.0,debit,Kratom,Amex Blue Cash Everyday,,
2023-09-17,BP#XXXXXX1CAPL GA004ATLANTA GA,BP#XXXXXX1CAPL GA004ATLANTA GA,15.96,debit,Gas & Fuel,Amex Blue Cash Everyday,,
2023-09-16,SP MACK WELDON NEW YORK NY,SP MACK WELDON NEW YORK NY,23.95,credit,Clothing,Amex Blue Cash Everyday,,
2023-09-09,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,368.94,credit,Credit Card Payment,Amex Blue Cash Everyday,,
2023-09-03,SP MACK WELDON NEW YORK NY,SP MACK WELDON NEW YORK NY,23.95,debit,Clothing,Amex Blue Cash Everyday,,
2023-09-02,GREEN CHEF BOULDER CO,GREEN CHEF BOULDER CO,33.93,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-08-29,EBAY O*XX-XXXXX-5732SAN JOSE CA,EBAY O*XX-XXXXX-5732SAN JOSE CA,25.04,debit,Sporting Goods,Amex Blue Cash Everyday,,
2023-08-21,MOUSTACHE COFFEE CLUPORTLAND OR,MOUSTACHE COFFEE CLUPORTLAND OR,1.0,debit,Coffee Shops,Amex Blue Cash Everyday,,
2023-08-16,HOMEDEPOT.COM XXX-XXX-3376 GA,HOMEDEPOT.COM XXX-XXX-3376 GA,9.66,debit,Home Improvement,Amex Blue Cash Everyday,,
2023-08-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,31.5,credit,Transfer,Amex Blue Cash Everyday,,
2023-07-30,WALMART.COM XXXX6665BENTONVILLE AR,WALMART.COM XXXX6665BENTONVILLE AR,358.28,debit,Electronics & Software,Amex Blue Cash Everyday,,
2023-07-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,113.27,credit,Transfer,Amex Blue Cash Everyday,,
2023-07-06,QT XXX/QUIKTRIP 5541ATLANTA GA,QT XXX/QUIKTRIP 5541ATLANTA GA,15.0,debit,Gas & Fuel,Amex Blue Cash Everyday,,
2023-07-06,GROUPON INC XXX-XXX-7858 IL,GROUPON INC XXX-XXX-7858 IL,16.5,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-16,BCE HOME CHEF CREDIT,BCE HOME CHEF CREDIT,15.0,credit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-14,PAYPAL *FUZZYPETHEA XXXXXX1875 CA,PAYPAL *FUZZYPETHEA XXXXXX1875 CA,52.46,debit,Charity,Amex Blue Cash Everyday,,
2023-06-10,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,64.09,credit,Transfer,Amex Blue Cash Everyday,,
2023-06-09,HOME CHEF CHICAGO IL,HOME CHEF CHICAGO IL,39.08,debit,Meal Delivery,Amex Blue Cash Everyday,,
2023-06-04,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,36.73,debit,Ride Share,Amex Blue Cash Everyday,,
